time_start,zone,afrr_up_price_eur_mw,afrr_up_volume_mw,afrr_down_price_eur_mw,afrr_down_volume_mw
2026-01-01T20:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-01T21:00:00,SN1,0.0,0.0,9.0,40.0
2026-01-01T21:00:00,SN2,0.0,0.0,8.5,90.0
2026-01-01T21:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-01T21:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-01T22:00:00,SN1,0.0,0.0,11.0,44.0
2026-01-01T22:00:00,SN2,8.0,6.0,11.0,130.0
2026-01-01T22:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-01T22:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-01T23:00:00,SN1,0.0,0.0,12.0,44.0
2026-01-01T23:00:00,SN2,0.0,0.0,12.0,130.0
2026-01-01T23:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-01T23:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T00:00:00,SN1,0.0,0.0,15.0,50.0
2026-01-02T00:00:00,SN2,0.0,0.0,15.0,77.0
2026-01-02T00:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T00:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T01:00:00,SN1,0.0,0.0,11.0,36.0
2026-01-02T01:00:00,SN2,0.0,0.0,11.0,70.0
2026-01-02T01:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T01:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T02:00:00,SN1,0.0,0.0,11.0,37.0
2026-01-02T02:00:00,SN2,0.0,0.0,11.0,70.0
2026-01-02T02:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T02:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T03:00:00,SN1,0.0,0.0,11.0,32.0
2026-01-02T03:00:00,SN2,0.0,0.0,12.0,75.0
2026-01-02T03:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T03:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T04:00:00,SN1,0.0,0.0,7.0,20.0
2026-01-02T04:00:00,SN2,0.0,0.0,7.0,88.0
2026-01-02T04:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T04:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T05:00:00,SN1,0.0,0.0,8.0,32.0
2026-01-02T05:00:00,SN2,0.0,0.0,8.0,100.0
2026-01-02T05:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T05:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T06:00:00,SN1,0.0,0.0,7.0,20.0
2026-01-02T06:00:00,SN2,0.0,0.0,7.0,116.0
2026-01-02T06:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T06:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T07:00:00,SN1,0.0,0.0,8.0,20.0
2026-01-02T07:00:00,SN2,0.0,0.0,8.0,128.0
2026-01-02T07:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T07:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T08:00:00,SN1,0.0,0.0,7.5,20.0
2026-01-02T08:00:00,SN2,0.0,0.0,7.5,126.0
2026-01-02T08:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T08:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T09:00:00,SN1,0.0,0.0,7.0,6.0
2026-01-02T09:00:00,SN2,0.0,0.0,7.0,108.0
2026-01-02T09:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T09:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T10:00:00,SN1,0.0,0.0,0.0,0.0
2026-01-02T10:00:00,SN2,0.0,0.0,6.5,104.0
2026-01-02T10:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T10:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T11:00:00,SN1,0.0,0.0,0.0,0.0
2026-01-02T11:00:00,SN2,0.0,0.0,6.5,102.0
2026-01-02T11:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T11:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T12:00:00,SN1,0.0,0.0,0.0,0.0
2026-01-02T12:00:00,SN2,0.0,0.0,6.5,102.0
2026-01-02T12:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T12:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T13:00:00,SN1,0.0,0.0,7.0,2.0
2026-01-02T13:00:00,SN2,0.0,0.0,7.0,108.0
2026-01-02T13:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T13:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T14:00:00,SN1,0.0,0.0,0.0,0.0
2026-01-02T14:00:00,SN2,0.0,0.0,6.5,106.0
2026-01-02T14:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T14:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T15:00:00,SN1,0.0,0.0,9.0,52.0
2026-01-02T15:00:00,SN2,0.0,0.0,10.0,188.0
2026-01-02T15:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T15:00:00,SN4,0.0,0.0,0.0,0.0
