inverter_name,event_name,event_code,event_type,time_start_utc,time_end_utc,duration_min,description
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:02:29.3890000Z,2026-04-10T14:12:55.4560000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:02:29.4490000Z,2026-04-10T14:12:55.5280000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:14:25.3990000Z,2026-04-10T14:17:55.4290000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:14:28.2820000Z,2026-04-10T14:18:00.0250000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:14:28.3450000Z,2026-04-10T14:18:00.0830000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:19:25.4130000Z,2026-04-10T14:19:55.4170000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:19:25.4660000Z,2026-04-10T14:19:59.5990000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:19:25.5180000Z,2026-04-10T14:19:59.6710000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:23:25.4040000Z,2026-04-10T14:24:25.4160000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:23:25.4740000Z,2026-04-10T14:24:25.5280000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:23:25.5290000Z,2026-04-10T14:24:25.5710000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:25:55.4150000Z,2026-04-10T14:27:55.4120000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:25:55.4970000Z,2026-04-10T14:27:56.1820000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-10T14:25:55.5420000Z,2026-04-10T14:27:56.2480000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T07:52:57.5900000Z,2026-04-13T07:55:03.9570000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T07:53:02.0420000Z,2026-04-13T07:55:04.0380000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T07:53:02.0980000Z,2026-04-13T07:55:04.0990000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T10:00:57.7230000Z,2026-04-13T10:10:27.7270000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T10:00:57.7800000Z,2026-04-13T10:10:27.8820000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T10:00:57.8340000Z,2026-04-13T10:10:27.9640000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T11:00:57.7650000Z,2026-04-13T11:10:27.7810000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T11:00:57.8270000Z,2026-04-13T11:10:27.8980000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T11:00:57.9200000Z,2026-04-13T11:10:27.9580000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T11:30:57.7840000Z,2026-04-13T11:40:27.7840000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T11:30:57.8710000Z,2026-04-13T11:40:27.8640000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-13T11:30:57.9270000Z,2026-04-13T11:40:27.9380000Z,0.0,On-grid: Power limit
