time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2025-01-01T20:00:00,SN3,8.0,329.0,1.0,145.0
2025-01-01T20:00:00,SN4,8.31,3.0,1.0,74.0
2025-01-01T21:00:00,SN1,8.0,41.0,9.0,150.0
2025-01-01T21:00:00,SN2,8.0,50.0,7.5,582.0
2025-01-01T21:00:00,SN3,8.0,329.0,4.0,164.0
2025-01-01T21:00:00,SN4,8.0,3.0,4.0,74.0
2025-01-01T22:00:00,SN1,8.0,41.0,11.0,129.0
2025-01-01T22:00:00,SN2,8.0,50.0,7.5,582.0
2025-01-01T22:00:00,SN3,8.0,329.0,4.0,164.0
2025-01-01T22:00:00,SN4,8.0,3.0,4.0,74.0
2025-01-01T23:00:00,SN1,7.5,31.0,12.0,167.0
2025-01-01T23:00:00,SN2,7.5,45.0,3.0,407.0
2025-01-01T23:00:00,SN3,7.5,344.0,2.0,154.0
2025-01-01T23:00:00,SN4,7.5,3.0,2.0,74.0
2025-01-02T00:00:00,SN1,5.36,46.0,13.0,172.0
2025-01-02T00:00:00,SN2,5.36,88.0,5.6,353.0
2025-01-02T00:00:00,SN3,5.36,309.0,5.6,217.0
2025-01-02T00:00:00,SN4,5.36,3.0,5.6,69.0
2025-01-02T01:00:00,SN1,5.36,46.0,13.0,172.0
2025-01-02T01:00:00,SN2,5.36,88.0,5.0,363.0
2025-01-02T01:00:00,SN3,5.36,309.0,5.0,208.0
2025-01-02T01:00:00,SN4,5.36,3.0,5.0,66.0
2025-01-02T02:00:00,SN1,5.36,46.0,13.0,172.0
2025-01-02T02:00:00,SN2,5.36,88.0,5.0,384.0
2025-01-02T02:00:00,SN3,5.36,309.0,5.0,189.0
2025-01-02T02:00:00,SN4,5.36,3.0,5.0,64.0
2025-01-02T03:00:00,SN1,5.36,46.0,13.0,172.0
2025-01-02T03:00:00,SN2,5.36,88.0,6.0,359.0
2025-01-02T03:00:00,SN3,5.36,309.0,6.0,217.0
2025-01-02T03:00:00,SN4,5.36,3.0,6.0,61.0
2025-01-02T04:00:00,SN1,5.36,46.0,13.0,172.0
2025-01-02T04:00:00,SN2,5.36,78.0,5.0,383.0
2025-01-02T04:00:00,SN3,5.36,309.0,5.0,195.0
2025-01-02T04:00:00,SN4,5.36,3.0,5.0,59.0
2025-01-02T05:00:00,SN1,5.36,46.0,13.0,172.0
2025-01-02T05:00:00,SN2,5.36,78.0,5.0,384.0
2025-01-02T05:00:00,SN3,5.36,309.0,5.0,193.0
2025-01-02T05:00:00,SN4,5.36,3.0,5.0,56.0
2025-01-02T06:00:00,SN1,14.0,66.0,13.0,177.0
2025-01-02T06:00:00,SN2,14.0,88.0,5.0,354.0
2025-01-02T06:00:00,SN3,14.0,263.0,5.0,240.0
2025-01-02T06:00:00,SN4,14.0,3.0,5.0,52.0
2025-01-02T07:00:00,SN1,12.0,71.0,10.0,176.0
2025-01-02T07:00:00,SN2,12.0,83.0,4.0,352.0
2025-01-02T07:00:00,SN3,12.0,263.0,4.0,244.0
2025-01-02T07:00:00,SN4,12.0,3.0,4.0,50.0
2025-01-02T08:00:00,SN1,15.0,121.0,10.0,176.0
2025-01-02T08:00:00,SN2,15.0,83.0,4.0,359.0
2025-01-02T08:00:00,SN3,15.0,263.0,3.0,244.0
