time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2024-06-01T00:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T00:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T00:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T00:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T01:00:00,SN1,6.4,150.0,36.0,140.0
2024-06-01T01:00:00,SN2,0.0,0.0,36.0,278.0
2024-06-01T01:00:00,SN3,6.4,47.0,36.0,180.0
2024-06-01T01:00:00,SN4,6.4,3.0,36.0,2.0
2024-06-01T02:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T02:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T02:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T02:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T03:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T03:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T03:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T03:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T04:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T04:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T04:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T04:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T05:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T05:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T05:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T05:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T06:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T06:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T06:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T06:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T07:00:00,SN1,6.0,100.0,31.0,140.0
2024-06-01T07:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T07:00:00,SN3,8.0,97.0,31.0,180.0
2024-06-01T07:00:00,SN4,8.0,3.0,31.0,2.0
2024-06-01T08:00:00,SN1,6.0,100.0,31.0,145.0
2024-06-01T08:00:00,SN2,0.0,0.0,31.0,273.0
2024-06-01T08:00:00,SN3,8.0,97.0,31.0,180.0
2024-06-01T08:00:00,SN4,8.0,3.0,31.0,2.0
2024-06-01T09:00:00,SN1,6.0,100.0,31.0,145.0
2024-06-01T09:00:00,SN2,0.0,0.0,31.0,273.0
2024-06-01T09:00:00,SN3,8.0,97.0,31.0,180.0
2024-06-01T09:00:00,SN4,8.0,3.0,31.0,2.0
2024-06-01T10:00:00,SN1,6.4,150.0,31.0,145.0
2024-06-01T10:00:00,SN2,0.0,0.0,31.0,273.0
2024-06-01T10:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T10:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T11:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T11:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T11:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T11:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T12:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T12:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T12:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T12:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T13:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T13:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T13:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T13:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T14:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T14:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T14:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T14:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T15:00:00,SN1,6.4,150.0,31.0,140.0
2024-06-01T15:00:00,SN2,0.0,0.0,31.0,278.0
2024-06-01T15:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T15:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T16:00:00,SN1,6.4,150.0,31.0,145.0
2024-06-01T16:00:00,SN2,0.0,0.0,31.0,273.0
2024-06-01T16:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T16:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T17:00:00,SN1,6.4,150.0,31.0,145.0
2024-06-01T17:00:00,SN2,0.0,0.0,31.0,273.0
2024-06-01T17:00:00,SN3,6.4,47.0,31.0,180.0
2024-06-01T17:00:00,SN4,6.4,3.0,31.0,2.0
2024-06-01T18:00:00,SN1,6.5,207.0,30.0,145.0
2024-06-01T18:00:00,SN2,6.5,91.0,30.0,293.0
2024-06-01T18:00:00,SN3,6.5,197.0,30.0,160.0
2024-06-01T18:00:00,SN4,25.0,5.0,30.0,2.0
2024-06-01T19:00:00,SN1,6.5,207.0,30.0,145.0
2024-06-01T19:00:00,SN2,6.5,91.0,30.0,293.0
2024-06-01T19:00:00,SN3,6.5,197.0,30.0,160.0
2024-06-01T19:00:00,SN4,25.0,5.0,30.0,2.0
2024-06-01T20:00:00,SN1,6.4,150.0,30.0,150.0
2024-06-01T20:00:00,SN2,0.0,0.0,30.0,308.0
2024-06-01T20:00:00,SN3,6.4,47.0,30.0,140.0
2024-06-01T20:00:00,SN4,6.4,3.0,30.0,2.0
2024-06-01T21:00:00,SN1,6.4,150.0,28.0,126.0
2024-06-01T21:00:00,SN2,0.0,0.0,28.0,332.0
2024-06-01T21:00:00,SN3,6.4,47.0,28.0,140.0
2024-06-01T21:00:00,SN4,6.4,3.0,28.0,2.0
2024-06-01T22:00:00,SN1,6.4,150.0,26.0,126.0
2024-06-01T22:00:00,SN2,0.0,0.0,26.0,332.0
2024-06-01T22:00:00,SN3,6.4,47.0,26.0,140.0
2024-06-01T22:00:00,SN4,6.4,3.0,26.0,2.0
2024-06-01T23:00:00,SN1,6.4,150.0,26.0,125.0
