time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2026-01-01T00:00:00,SN1,1.8,168.0,15.0,257.0
2026-01-01T00:00:00,SN2,1.8,156.0,8.0,593.0
2026-01-01T00:00:00,SN3,4.18,515.0,1.49,188.0
2026-01-01T00:00:00,SN4,5.0,73.0,1.49,12.0
2026-01-01T01:00:00,SN1,1.6,168.0,13.0,237.0
2026-01-01T01:00:00,SN2,1.6,161.0,8.0,613.0
2026-01-01T01:00:00,SN3,2.0,458.0,1.49,191.0
2026-01-01T01:00:00,SN4,10.0,131.0,1.49,9.0
2026-01-01T02:00:00,SN1,1.5,150.0,12.5,230.0
2026-01-01T02:00:00,SN2,1.5,163.0,8.0,633.0
2026-01-01T02:00:00,SN3,3.0,502.0,1.49,190.0
2026-01-01T02:00:00,SN4,10.0,91.0,1.49,10.0
2026-01-01T03:00:00,SN1,1.5,95.0,11.3,234.0
2026-01-01T03:00:00,SN2,1.5,163.0,8.0,626.0
2026-01-01T03:00:00,SN3,2.0,474.0,1.63,190.0
2026-01-01T03:00:00,SN4,10.0,127.0,1.63,10.0
2026-01-01T04:00:00,SN1,1.5,94.0,11.0,239.0
2026-01-01T04:00:00,SN2,1.5,163.0,8.0,622.0
2026-01-01T04:00:00,SN3,3.0,508.0,1.52,190.0
2026-01-01T04:00:00,SN4,10.0,91.0,1.52,10.0
2026-01-01T05:00:00,SN1,1.5,158.0,10.0,230.0
2026-01-01T05:00:00,SN2,1.5,164.0,8.0,638.0
2026-01-01T05:00:00,SN3,3.0,460.0,1.63,189.0
2026-01-01T05:00:00,SN4,10.0,131.0,1.63,11.0
2026-01-01T06:00:00,SN1,1.5,92.0,9.0,242.0
2026-01-01T06:00:00,SN2,1.5,165.0,8.0,608.0
2026-01-01T06:00:00,SN3,3.0,510.0,1.52,189.0
2026-01-01T06:00:00,SN4,5.0,86.0,1.52,11.0
2026-01-01T07:00:00,SN1,1.5,151.0,9.0,253.0
2026-01-01T07:00:00,SN2,1.5,166.0,8.0,597.0
2026-01-01T07:00:00,SN3,2.0,470.0,1.63,189.0
2026-01-01T07:00:00,SN4,5.0,126.0,1.63,11.0
2026-01-01T08:00:00,SN1,1.53,79.0,9.0,252.0
2026-01-01T08:00:00,SN2,1.53,168.0,8.0,598.0
