ar,region,effektklass,solcellsanlaggningar_antal,installerad_effekt_(mw)
2016,00 Riket,< 20 kW,8543.0,64.99
2016,00 Riket,20 kW - 1 000 kW,1460.0,70.72
2016,00 Riket,> 1 000 kW,3.0,4.32
2016,00 Riket,Totalt,10006.0,140.03
2016,01 Stockholms län,< 20 kW,872.0,6.34
2016,01 Stockholms län,20 kW - 1 000 kW,179.0,9.27
2016,01 Stockholms län,> 1 000 kW,0.0,0.0
2016,01 Stockholms län,Totalt,1051.0,15.61
2016,03 Uppsala län,< 20 kW,433.0,3.37
2016,03 Uppsala län,20 kW - 1 000 kW,84.0,3.98
2016,03 Uppsala län,> 1 000 kW,0.0,0.0
2016,03 Uppsala län,Totalt,517.0,7.35
2016,04 Södermanlands län,< 20 kW,332.0,2.54
2016,04 Södermanlands län,20 kW - 1 000 kW,84.0,4.18
2016,04 Södermanlands län,> 1 000 kW,1.0,1.02
2016,04 Södermanlands län,Totalt,417.0,7.74
2016,05 Östergötlands län,< 20 kW,591.0,4.99
2016,05 Östergötlands län,20 kW - 1 000 kW,194.0,9.26
2016,05 Östergötlands län,> 1 000 kW,0.0,0.0
2016,05 Östergötlands län,Totalt,785.0,14.25
2016,06 Jönköpings län,< 20 kW,409.0,3.69
2016,06 Jönköpings län,20 kW - 1 000 kW,80.0,3.81
2016,06 Jönköpings län,> 1 000 kW,0.0,0.0
2016,06 Jönköpings län,Totalt,489.0,7.49
2016,07 Kronobergs län,< 20 kW,238.0,1.98
2016,07 Kronobergs län,20 kW - 1 000 kW,30.0,1.87
2016,07 Kronobergs län,> 1 000 kW,0.0,0.0
2016,07 Kronobergs län,Totalt,268.0,3.85
2016,08 Kalmar län,< 20 kW,325.0,2.49
2016,08 Kalmar län,20 kW - 1 000 kW,38.0,2.36
2016,08 Kalmar län,> 1 000 kW,0.0,0.0
2016,08 Kalmar län,Totalt,363.0,4.86
2016,09 Gotlands län,< 20 kW,217.0,1.52
2016,09 Gotlands län,20 kW - 1 000 kW,25.0,0.76
2016,09 Gotlands län,> 1 000 kW,0.0,0.0
2016,09 Gotlands län,Totalt,242.0,2.28
2016,10 Blekinge län,< 20 kW,186.0,1.4
2016,10 Blekinge län,20 kW - 1 000 kW,23.0,1.84
2016,10 Blekinge län,> 1 000 kW,0.0,0.0
2016,10 Blekinge län,Totalt,209.0,3.24
2016,12 Skåne län,< 20 kW,1071.0,8.39
2016,12 Skåne län,20 kW - 1 000 kW,219.0,11.79
2016,12 Skåne län,> 1 000 kW,0.0,0.0
2016,12 Skåne län,Totalt,1290.0,20.18
2016,13 Hallands län,< 20 kW,690.0,5.41
2016,13 Hallands län,20 kW - 1 000 kW,122.0,5.36
2016,13 Hallands län,> 1 000 kW,1.0,2.3
2016,13 Hallands län,Totalt,813.0,13.07
2016,14 Västra Götalands län,< 20 kW,1477.0,11.09
2016,14 Västra Götalands län,20 kW - 1 000 kW,168.0,7.26
2016,14 Västra Götalands län,> 1 000 kW,0.0,0.0
2016,14 Västra Götalands län,Totalt,1645.0,18.34
2016,17 Värmlands län,< 20 kW,218.0,1.55
2016,17 Värmlands län,20 kW - 1 000 kW,24.0,1.02
2016,17 Värmlands län,> 1 000 kW,0.0,0.0
2016,17 Värmlands län,Totalt,242.0,2.56
2016,18 Örebro län,< 20 kW,292.0,2.24
2016,18 Örebro län,20 kW - 1 000 kW,30.0,1.27
2016,18 Örebro län,> 1 000 kW,0.0,0.0
2016,18 Örebro län,Totalt,322.0,3.51
2016,19 Västmanlands län,< 20 kW,..,..
2016,19 Västmanlands län,20 kW - 1 000 kW,..,..
2016,19 Västmanlands län,> 1 000 kW,1.0,1.0
2016,19 Västmanlands län,Totalt,364.0,6.16
2016,20 Dalarnas län,< 20 kW,281.0,1.97
2016,20 Dalarnas län,20 kW - 1 000 kW,15.0,0.59
2016,20 Dalarnas län,> 1 000 kW,0.0,0.0
2016,20 Dalarnas län,Totalt,296.0,2.56
2016,21 Gävleborgs län,< 20 kW,133.0,0.95
2016,21 Gävleborgs län,20 kW - 1 000 kW,11.0,0.31
2016,21 Gävleborgs län,> 1 000 kW,0.0,0.0
2016,21 Gävleborgs län,Totalt,144.0,1.26
2016,22 Västernorrlands län,< 20 kW,166.0,1.28
2016,22 Västernorrlands län,20 kW - 1 000 kW,20.0,1.1
2016,22 Västernorrlands län,> 1 000 kW,0.0,0.0
2016,22 Västernorrlands län,Totalt,186.0,2.38
2016,23 Jämtlands län,< 20 kW,230.0,1.23
2016,23 Jämtlands län,20 kW - 1 000 kW,22.0,0.62
2016,23 Jämtlands län,> 1 000 kW,0.0,0.0
2016,23 Jämtlands län,Totalt,252.0,1.85
2016,24 Västerbottens län,< 20 kW,..,..
2016,24 Västerbottens län,20 kW - 1 000 kW,..,..
2016,24 Västerbottens län,> 1 000 kW,0.0,0.0
2016,24 Västerbottens län,Totalt,68.0,0.79
2016,25 Norrbottens län,< 20 kW,38.0,0.27
2016,25 Norrbottens län,20 kW - 1 000 kW,5.0,0.43
2016,25 Norrbottens län,> 1 000 kW,0.0,0.0
2016,25 Norrbottens län,Totalt,43.0,0.7
2016,0114 Upplands Väsby,< 20 kW,12.0,0.08
2016,0114 Upplands Väsby,20 kW - 1 000 kW,6.0,0.26
2016,0114 Upplands Väsby,> 1 000 kW,0.0,0.0
2016,0114 Upplands Väsby,Totalt,18.0,0.35
2016,0115 Vallentuna,< 20 kW,26.0,0.19
2016,0115 Vallentuna,20 kW - 1 000 kW,6.0,0.23
2016,0115 Vallentuna,> 1 000 kW,0.0,0.0
2016,0115 Vallentuna,Totalt,32.0,0.42
2016,0117 Österåker,< 20 kW,40.0,0.25
2016,0117 Österåker,20 kW - 1 000 kW,7.0,0.3
2016,0117 Österåker,> 1 000 kW,0.0,0.0
2016,0117 Österåker,Totalt,47.0,0.55
2016,0120 Värmdö,< 20 kW,82.0,0.52
2016,0120 Värmdö,20 kW - 1 000 kW,2.0,0.06
2016,0120 Värmdö,> 1 000 kW,0.0,0.0
2016,0120 Värmdö,Totalt,84.0,0.58
2016,0123 Järfälla,< 20 kW,39.0,0.26
2016,0123 Järfälla,20 kW - 1 000 kW,6.0,0.73
2016,0123 Järfälla,> 1 000 kW,0.0,0.0
2016,0123 Järfälla,Totalt,45.0,0.99
2016,0125 Ekerö,< 20 kW,36.0,0.3
2016,0125 Ekerö,20 kW - 1 000 kW,8.0,0.32
2016,0125 Ekerö,> 1 000 kW,0.0,0.0
2016,0125 Ekerö,Totalt,44.0,0.62
2016,0126 Huddinge,< 20 kW,56.0,0.34
2016,0126 Huddinge,20 kW - 1 000 kW,3.0,0.34
2016,0126 Huddinge,> 1 000 kW,0.0,0.0
2016,0126 Huddinge,Totalt,59.0,0.68
2016,0127 Botkyrka,< 20 kW,17.0,0.14
2016,0127 Botkyrka,20 kW - 1 000 kW,2.0,0.06
2016,0127 Botkyrka,> 1 000 kW,0.0,0.0
2016,0127 Botkyrka,Totalt,19.0,0.19
2016,0128 Salem,< 20 kW,8.0,0.05
2016,0128 Salem,20 kW - 1 000 kW,0.0,0.0
2016,0128 Salem,> 1 000 kW,0.0,0.0
2016,0128 Salem,Totalt,8.0,0.05
