time_start,fcr_n_price_eur_mw,fcr_n_volume_mw,fcr_d_up_price_eur_mw,fcr_d_up_volume_mw,fcr_d_down_price_eur_mw,fcr_d_down_volume_mw
2025-01-01T00:00:00,18.817391304347826,253.0,1.071402985074627,603.0,5.2316455696202535,632.0
2025-01-01T01:00:00,18.7762371541502,253.0,1.0502155887230513,603.0,6.725499600319744,625.5
2025-01-01T02:00:00,18.466442687747037,253.0,1.0250248756218905,603.0,7.668324324324324,592.0
2025-01-01T03:00:00,19.302545454545456,253.0,1.124726368159204,603.0,7.780975609756098,574.0
2025-01-01T04:00:00,18.683620553359685,253.0,1.3102813036020584,583.0,8.41648816721368,578.9
2025-01-01T05:00:00,18.914782608695653,253.0,1.2990051457975986,583.0,8.477346153846154,572.0
2025-01-01T06:00:00,15.838260869565218,253.0,7.042142620232172,603.0,18.4211731548353,567.7
2025-01-01T07:00:00,16.12727272727273,253.0,7.048825870646766,603.0,14.717387616624258,589.5
2025-01-01T08:00:00,15.975826086956522,253.0,7.050303432266622,603.1,9.502271978926572,607.4
2025-01-01T09:00:00,15.975826086956522,253.0,7.099656946826758,583.0,9.493881578947368,608.0
2025-01-01T10:00:00,15.975826086956522,253.0,7.2169490963356,603.1,9.475374239184076,607.9
2025-01-01T11:00:00,15.975826086956522,253.0,7.110908488063661,603.2,9.978829955947136,567.5
2025-01-01T12:00:00,15.975826086956522,253.0,6.914351851851852,583.2,10.670306607929515,567.5
2025-01-01T13:00:00,15.975826086956522,253.0,6.942359396433471,583.2,10.782132158590308,567.5
2025-01-01T14:00:00,15.646652173913044,253.0,6.7916114058355435,603.2,10.700666079295154,567.5
2025-01-01T15:00:00,15.798735177865613,253.0,7.545405237873857,645.3,10.681085462555066,567.5
2025-01-01T16:00:00,15.730173913043478,253.0,7.7466070326958665,648.4,10.666748898678414,567.5
2025-01-01T17:00:00,15.742292490118578,253.0,7.763637768505641,647.1,10.072394713656388,567.5
2025-01-01T18:00:00,17.58478260869565,253.0,2.577200534362476,673.7,1.9990875620297743,624.7
2025-01-01T19:00:00,16.82396837944664,253.0,2.311963072378139,677.0,2.3016517412935324,603.0
2025-01-01T20:00:00,16.86707509881423,253.0,1.538109305760709,677.0,2.429900332225914,602.0
2025-01-01T21:00:00,17.46411067193676,253.0,1.1556854775676098,639.7,2.4556812426135406,592.3
2025-01-01T22:00:00,18.92292490118577,253.0,1.1983847429519072,603.0,2.42454861686268,603.7
2025-01-01T23:00:00,18.90118577075099,253.0,1.3295522388059702,603.0,2.445187165775401,598.4
2025-01-02T00:00:00,14.657333333333334,240.0,2.180800344234079,581.0,7.106821520068317,585.5
2025-01-02T01:00:00,15.362958333333333,240.0,2.076133689839572,561.0,7.094497011101622,585.5
2025-01-02T02:00:00,14.650916666666667,240.0,2.180800344234079,581.0,7.67066609735269,585.5
2025-01-02T03:00:00,14.209333333333333,240.0,2.4288674698795183,581.0,7.002859020703253,608.6
2025-01-02T04:00:00,13.9235,240.0,2.4539251336898396,561.0,7.653706233988045,585.5
2025-01-02T05:00:00,14.551041666666666,240.0,2.722103386809269,561.0,7.5170572160546545,585.5
2025-01-02T06:00:00,15.0,271.2,6.603876075731497,581.0,7.273319223985891,567.0
2025-01-02T07:00:00,14.817536071032187,270.3,6.752481927710844,581.0,7.257410934744268,567.0
2025-01-02T08:00:00,15.0,271.2,6.996419965576592,581.0,8.116814814814814,567.0
2025-01-02T09:00:00,15.0,269.0,6.890909090909091,561.0,8.16268077601411,567.0
2025-01-02T10:00:00,15.0,266.9,6.935508021390374,561.0,7.238320987654321,567.0
2025-01-02T11:00:00,14.422164536741214,250.4,6.807242685025818,581.0,7.346497354497354,567.0
2025-01-02T12:00:00,14.353354632587859,250.4,6.679518072289157,581.0,7.336952380952381,567.0
2025-01-02T13:00:00,15.0,260.4,6.731876075731497,581.0,7.2222627865961195,567.0
2025-01-02T14:00:00,14.353354632587859,250.4,6.8311160857051485,625.4,7.356042328042328,567.0
2025-01-02T15:00:00,16.68325958702065,271.2,7.470232273838631,654.4,7.241502645502646,567.0
2025-01-02T16:00:00,16.657448377581122,271.2,7.592351145038168,655.0,7.249206349206349,567.0
2025-01-02T17:00:00,16.68141592920354,271.2,7.076998921583732,649.1,7.2749100529100525,567.0
2025-01-02T18:00:00,15.0,268.1,3.0,655.0,7.278091710758377,567.0
2025-01-02T19:00:00,15.0,267.9,3.748702290076336,655.0,7.265365079365079,567.0
2025-01-02T20:00:00,15.0,267.8,3.7380006114338125,654.2,7.284455026455026,567.0
2025-01-02T21:00:00,14.941918020108275,258.6,2.40257909215956,581.6,7.27641975308642,567.0
2025-01-02T22:00:00,15.0,258.7,2.681283422459893,561.0,7.284455026455026,567.0
2025-01-02T23:00:00,15.744475,240.0,6.191144385026738,561.0,7.159343915343915,567.0
2025-01-03T00:00:00,16.532083333333333,240.0,0.8690730837789661,561.0,2.8161861656703673,585.5
2025-01-03T01:00:00,16.464041666666667,240.0,0.8761617900172117,581.0,2.2601626684193232,608.6
