month,day,hour,weight
1,1,1,0.00000000
1,1,9,0.00000027
1,1,10,0.00000315
1,1,11,0.00000661
1,1,12,0.00000721
1,1,13,0.00000420
1,1,14,0.00000123
1,1,15,0.00000000
1,2,9,0.00000030
1,2,10,0.00000324
1,2,11,0.00000754
1,2,12,0.00000827
1,2,13,0.00000596
1,2,14,0.00000123
1,2,15,0.00000000
1,3,9,0.00000036
1,3,10,0.00000324
1,3,11,0.00000748
1,3,12,0.00000681
1,3,13,0.00000442
1,3,14,0.00000141
1,3,15,0.00000000
1,4,9,0.00000030
1,4,10,0.00000365
1,4,11,0.00000675
1,4,12,0.00000930
1,4,13,0.00000470
1,4,14,0.00000128
1,4,15,0.00000000
1,5,9,0.00000030
1,5,10,0.00000324
1,5,11,0.00000757
1,5,12,0.00001101
1,5,13,0.00000534
1,5,14,0.00000137
1,5,15,0.00000000
1,6,9,0.00000023
1,6,10,0.00000333
1,6,11,0.00000634
1,6,12,0.00000657
1,6,13,0.00000388
1,6,14,0.00000091
1,6,15,0.00000000
1,7,9,0.00000027
1,7,10,0.00000306
1,7,11,0.00000597
1,7,12,0.00000790
1,7,13,0.00000470
1,7,14,0.00000119
1,7,15,0.00000000
1,8,9,0.00000079
1,8,10,0.00000219
1,8,11,0.00000296
1,8,12,0.00000353
1,8,13,0.00000334
1,8,14,0.00000109
1,8,15,0.00000000
1,8,16,0.00000036
1,8,18,0.00000000
1,9,0,0.00068368
1,9,9,0.00000036
1,9,10,0.00000406
1,9,11,0.00000784
1,9,12,0.00000730
1,9,13,0.00000520
1,9,14,0.00000132
1,9,15,0.00000000
1,10,1,0.00065322
1,10,2,0.00063808
1,10,3,0.00064465
1,10,4,0.00063899
1,10,5,0.00062513
1,10,6,0.00063370
1,10,7,0.00067146
1,10,8,0.00075738
1,10,9,0.00028140
1,10,10,0.00019746
1,10,11,0.00017626
1,10,12,0.00017384
1,10,13,0.00000465
1,10,14,0.00000141
1,10,15,0.00000000
1,11,9,0.00000061
1,11,10,0.00000999
1,11,11,0.00002116
1,11,12,0.00003028
1,11,13,0.00001491
1,11,14,0.00000251
1,11,15,0.00000012
1,11,16,0.00000000
1,12,9,0.00000050
1,12,10,0.00000871
1,12,11,0.00001779
1,12,12,0.00002130
1,12,13,0.00001496
1,12,14,0.00000237
1,12,15,0.00000009
1,12,16,0.00000000
1,13,9,0.00000036
1,13,10,0.00000251
1,13,11,0.00000593
1,13,12,0.00000724
1,13,13,0.00000397
1,13,14,0.00000119
1,13,15,0.00000014
1,13,16,0.00000000
1,14,9,0.00000055
1,14,10,0.00000793
1,14,11,0.00001883
1,14,12,0.00001952
1,14,13,0.00001003
1,14,14,0.00000196
1,14,15,0.00000018
1,14,16,0.00000000
1,15,9,0.00000068
1,15,10,0.00000702
1,15,11,0.00001313
1,15,12,0.00001982
1,15,13,0.00001186
1,15,14,0.00000264
1,15,15,0.00000014
1,15,16,0.00000000
1,16,9,0.00000105
1,16,10,0.00001459
1,16,11,0.00002691
1,16,12,0.00002932
1,16,13,0.00002020
1,16,14,0.00000356
1,16,15,0.00000027
1,16,16,0.00000000
1,17,9,0.00000059
1,17,10,0.00000743
1,17,11,0.00001364
1,17,12,0.00001309
1,17,13,0.00000953
1,17,14,0.00000264
1,17,15,0.00000023
1,17,16,0.00000000
1,18,9,0.00000064
1,18,10,0.00000506
1,18,11,0.00000793
1,18,12,0.00000999
1,18,13,0.00000771
1,18,14,0.00000237
1,18,15,0.00000041
1,18,16,0.00000000
1,19,8,0.00000018
1,19,9,0.00000150
1,19,10,0.00001067
1,19,11,0.00002084
1,19,12,0.00002262
1,19,13,0.00001601
1,19,14,0.00000648
1,19,15,0.00000078
1,19,16,0.00000000
1,20,8,0.00000018
1,20,9,0.00000146
1,20,10,0.00001322
1,20,11,0.00002449
1,20,12,0.00002609
1,20,13,0.00001833
1,20,14,0.00000693
1,20,15,0.00000087
1,20,16,0.00000000
1,21,8,0.00000018
1,21,9,0.00000128
1,21,10,0.00001022
1,21,11,0.00001651
1,21,12,0.00002049
1,21,13,0.00000999
1,21,14,0.00000337
1,21,15,0.00000055
1,21,16,0.00000000
1,22,8,0.00000036
1,22,9,0.00000087
1,22,10,0.00000572
1,22,11,0.00000853
1,22,12,0.00000930
1,22,13,0.00000716
1,22,14,0.00000360
1,22,15,0.00000064
1,22,16,0.00000000
1,23,8,0.00000027
1,23,9,0.00000187
1,23,10,0.00000597
1,23,11,0.00001318
1,23,12,0.00001997
1,23,13,0.00001715
1,23,14,0.00000775
1,23,15,0.00000091
1,23,16,0.00000000
1,24,8,0.00000036
1,24,9,0.00000164
1,24,10,0.00000579
1,24,11,0.00001040
1,24,12,0.00001072
1,24,13,0.00000812
1,24,14,0.00000388
1,24,15,0.00000096
1,24,16,0.00000000
1,25,8,0.00000030
1,25,9,0.00000296
1,25,10,0.00001245
1,25,11,0.00002481
1,25,12,0.00002937
1,25,13,0.00002298
1,25,14,0.00001085
1,25,15,0.00000169
1,25,16,0.00000000
1,26,8,0.00000027
1,26,9,0.00000255
1,26,10,0.00001423
1,26,11,0.00002586
1,26,12,0.00002982
1,26,13,0.00002157
1,26,14,0.00000885
1,26,15,0.00000196
1,26,16,0.00000000
1,27,8,0.00000036
1,27,9,0.00000575
1,27,10,0.00001879
1,27,11,0.00002928
1,27,12,0.00003033
1,27,13,0.00002011
1,27,14,0.00000980
1,27,15,0.00000214
1,27,16,0.00000000
1,28,8,0.00000027
1,28,9,0.00000479
1,28,10,0.00001400
1,28,11,0.00002399
1,28,12,0.00002718
1,28,13,0.00002225
1,28,14,0.00001172
1,28,15,0.00000223
1,28,16,0.00000000
1,29,8,0.00000030
1,29,9,0.00000520
1,29,10,0.00001842
1,29,11,0.00002490
1,29,12,0.00003362
1,29,13,0.00002312
1,29,14,0.00001665
1,29,15,0.00000251
1,29,16,0.00000000
1,30,8,0.00000032
1,30,9,0.00000990
1,30,10,0.00002723
1,30,11,0.00003685
1,30,12,0.00004168
1,30,13,0.00003548
1,30,14,0.00002107
1,30,15,0.00000296
1,30,16,0.00000000
1,31,8,0.00000032
1,31,9,0.00001295
1,31,10,0.00003461
1,31,11,0.00004889
1,31,12,0.00005167
1,31,13,0.00004332
1,31,14,0.00002180
1,31,15,0.00000324
1,31,16,0.00000000
2,1,1,0.00000000
2,1,8,0.00000068
2,1,9,0.00001149
2,1,10,0.00002960
2,1,11,0.00005641
2,1,12,0.00006407
2,1,13,0.00005363
2,1,14,0.00003224
2,1,15,0.00000652
2,1,16,0.00000000
2,2,8,0.00000064
2,2,9,0.00001222
2,2,10,0.00002727
2,2,11,0.00003461
2,2,12,0.00003448
2,2,13,0.00002499
2,2,14,0.00001291
2,2,15,0.00000214
2,2,16,0.00000009
2,2,17,0.00000000
2,3,8,0.00000082
2,3,9,0.00001500
2,3,10,0.00003106
2,3,11,0.00004054
2,3,12,0.00004004
2,3,13,0.00003010
2,3,14,0.00001551
2,3,15,0.00000283
2,3,16,0.00000009
2,3,17,0.00000000
2,4,8,0.00000122
2,4,9,0.00001537
2,4,10,0.00003096
2,4,11,0.00004145
2,4,12,0.00004328
2,4,13,0.00003885
2,4,14,0.00002668
2,4,15,0.00000734
2,4,16,0.00000018
2,4,17,0.00000000
2,5,8,0.00000128
2,5,9,0.00001701
2,5,10,0.00003274
2,5,11,0.00004351
2,5,12,0.00004588
2,5,13,0.00004287
2,5,14,0.00003229
2,5,15,0.00001172
2,5,16,0.00000018
2,5,17,0.00000000
2,6,8,0.00000119
2,6,9,0.00002276
2,6,10,0.00004433
2,6,11,0.00005974
2,6,12,0.00006266
2,6,13,0.00005181
2,6,14,0.00003375
2,6,15,0.00001450
2,6,16,0.00000055
2,6,17,0.00000000
2,7,8,0.00000169
2,7,9,0.00002727
2,7,10,0.00005263
2,7,11,0.00007725
2,7,12,0.00008427
2,7,13,0.00006886
2,7,14,0.00004337
2,7,15,0.00001902
2,7,16,0.00000091
2,7,17,0.00000000
2,8,8,0.00000182
2,8,9,0.00002485
2,8,10,0.00004164
2,8,11,0.00005641
